scope,term,coef_log_odds,cluster_robust_se,z,p_value,odds_ratio,ci_low,ci_high,n_pairs,n_conversations,log_likelihood,se_type
"WildChat only, model fixed effects, broad scaffolded support only",Intercept,-4.086958,0.083897,-48.713747,0,0.016790,0.014244,0.019791,216256,71263,-38039.506027,conversation-cluster robust sandwich
"WildChat only, model fixed effects, broad scaffolded support only",scaffolded_support_S2,0.441589,0.023074,19.138308,1.2114e-81,1.555176,1.486411,1.627122,216256,71263,-38039.506027,conversation-cluster robust sandwich
"WildChat only, model fixed effects, broad scaffolded support only",prior_user_constructive,2.209593,0.033905,65.170972,0,9.112003,8.526165,9.738094,216256,71263,-38039.506027,conversation-cluster robust sandwich
"WildChat only, model fixed effects, broad scaffolded support only",prior_user_active,1.049015,0.025975,40.384991,0,2.854838,2.713131,3.003946,216256,71263,-38039.506027,conversation-cluster robust sandwich
"WildChat only, model fixed effects, broad scaffolded support only",prior_user_passive,0.840896,0.114507,7.343624,2.07887e-13,2.318444,1.852364,2.901797,216256,71263,-38039.506027,conversation-cluster robust sandwich
"WildChat only, model fixed effects, broad scaffolded support only",prior_user_emotional,0.677969,0.098775,6.863782,6.70611e-12,1.969872,1.623152,2.390655,216256,71263,-38039.506027,conversation-cluster robust sandwich
"WildChat only, model fixed effects, broad scaffolded support only",prior_user_error,0.436815,0.035812,12.197504,3.20497e-34,1.547770,1.442855,1.660313,216256,71263,-38039.506027,conversation-cluster robust sandwich
"WildChat only, model fixed effects, broad scaffolded support only",intentional_framing,0.336695,0.026270,12.816494,1.32561e-37,1.400312,1.330034,1.474302,216256,71263,-38039.506027,conversation-cluster robust sandwich
"WildChat only, model fixed effects, broad scaffolded support only",coding_task,0.193249,0.073462,2.630602,0.00852337,1.213185,1.050497,1.401068,216256,71263,-38039.506027,conversation-cluster robust sandwich
"WildChat only, model fixed effects, broad scaffolded support only",log_assistant_turn_index,0.027702,0.014028,1.974705,0.0483016,1.028089,1.000206,1.056749,216256,71263,-38039.506027,conversation-cluster robust sandwich
"WildChat only, model fixed effects, broad scaffolded support only",model_WildChat::gpt-3.5-turbo-0125,-0.394484,0.071890,-5.487311,4.08099e-08,0.674028,0.585442,0.776018,216256,71263,-38039.506027,conversation-cluster robust sandwich
"WildChat only, model fixed effects, broad scaffolded support only",model_WildChat::gpt-3.5-turbo-0301,0.005998,0.059991,0.099983,0.920358,1.006016,0.894416,1.131541,216256,71263,-38039.506027,conversation-cluster robust sandwich
"WildChat only, model fixed effects, broad scaffolded support only",model_WildChat::gpt-3.5-turbo-0613,-0.395153,0.044648,-8.850497,8.71308e-19,0.673577,0.617138,0.735177,216256,71263,-38039.506027,conversation-cluster robust sandwich
"WildChat only, model fixed effects, broad scaffolded support only",model_WildChat::gpt-4,0.531163,0.062482,8.501114,1.8778e-17,1.700909,1.504859,1.922500,216256,71263,-38039.506027,conversation-cluster robust sandwich
"WildChat only, model fixed effects, broad scaffolded support only",model_WildChat::gpt-4-0125-preview,-0.083683,0.060976,-1.372380,0.169945,0.919723,0.816118,1.036481,216256,71263,-38039.506027,conversation-cluster robust sandwich
"WildChat only, model fixed effects, broad scaffolded support only",model_WildChat::gpt-4-0314,0.545239,0.088083,6.190067,6.01385e-10,1.725021,1.451499,2.050086,216256,71263,-38039.506027,conversation-cluster robust sandwich
"WildChat only, model fixed effects, broad scaffolded support only",model_WildChat::gpt-4-1106-preview,0.229169,0.052939,4.328943,1.49827e-05,1.257555,1.133612,1.395049,216256,71263,-38039.506027,conversation-cluster robust sandwich
"WildChat only, model fixed effects, broad scaffolded support only",model_WildChat::gpt-4-turbo-2024-04-09,-0.332199,0.104194,-3.188278,0.00143123,0.717345,0.584839,0.879872,216256,71263,-38039.506027,conversation-cluster robust sandwich
"WildChat only, model fixed effects, broad scaffolded support only",model_WildChat::gpt-4.1-mini-2025-04-14,-0.453642,0.067236,-6.746990,1.50944e-11,0.635310,0.556869,0.724800,216256,71263,-38039.506027,conversation-cluster robust sandwich
"WildChat only, model fixed effects, broad scaffolded support only",model_WildChat::gpt-4o-2024-05-13,0.006374,0.051863,0.122909,0.902179,1.006395,0.909120,1.114077,216256,71263,-38039.506027,conversation-cluster robust sandwich
"WildChat only, model fixed effects, broad scaffolded support only",model_WildChat::gpt-4o-2024-08-06,-0.002955,0.044861,-0.065872,0.94748,0.997049,0.913125,1.088687,216256,71263,-38039.506027,conversation-cluster robust sandwich
"WildChat only, model fixed effects, broad scaffolded support only",model_WildChat::gpt-4o-2024-11-20,-0.010750,0.117705,-0.091332,0.927229,0.989307,0.785486,1.246017,216256,71263,-38039.506027,conversation-cluster robust sandwich
"WildChat only, model fixed effects, broad scaffolded support only",model_WildChat::gpt-4o-mini-2024-07-18,-0.368678,0.046647,-7.903545,2.71082e-15,0.691648,0.631217,0.757866,216256,71263,-38039.506027,conversation-cluster robust sandwich
